SURVEY_ID,USER_ID,SURVEY_RESPONDED_DATE,RESPONSE1,RESPONSE2,RESPONSE3
survey_8,user_716,9/16/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_3,user_731,8/12/21,stock-up,costco,"i was able to buy everything on my list"
survey_2,user_734,8/5/21,other,costco,"i was able to buy everything on my list"
survey_4,user_827,8/21/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_4,user_835,8/20/21,"grab & go",kroger,"i found most of the items on my list"
survey_10,user_885,9/29/21,other,target,"i did not find any of the items i needed"
survey_8,user_906,9/18/21,stock-up,walmart,"i was able to buy everything on my list"
survey_2,user_1034,8/3/21,"grab & go",costco,"i was able to buy everything on my list"
survey_10,user_1046,9/30/21,"grab & go",walmart,"i found most of the items on my list"
survey_9,user_1222,9/22/21,"fill in","sam's club","i found only a few of the items on my list"
survey_5,user_905,8/25/21,"grab & go",costco,"i was able to buy everything on my list"
survey_8,user_953,9/15/21,"grab & go",target,"i was able to buy everything on my list"
survey_9,user_967,9/20/21,"grab & go",costco,"i was able to buy everything on my list"
survey_2,user_1050,8/3/21,other,"whole foods","i was able to buy everything on my list"
survey_2,user_1071,8/3/21,"fill in",albertsons,"i was able to buy everything on my list"
survey_6,user_1141,9/5/21,"grab & go","Trader Joe's","i was able to buy everything on my list"
survey_5,user_4629,8/24/21,stock-up,costco,"i was able to buy everything on my list"
survey_5,user_4898,8/24/21,other,walmart,"i was able to buy everything on my list"
survey_9,user_4933,9/24/21,"fill in",walmart,"i found most of the items on my list"
survey_5,user_4941,8/25/21,stock-up,"sam's club","i was able to buy everything on my list"
survey_2,user_5134,8/2/21,stock-up,costco,"i was able to buy everything on my list"
survey_9,user_5092,9/21/21,stock-up,walmart,"i was able to buy everything on my list"
survey_4,user_5122,8/18/21,"grab & go",albertsons,"i found most of the items on my list"
survey_3,user_5157,8/14/21,stock-up,walmart,"i was able to buy everything on my list"
survey_3,user_5175,8/9/21,"fill in",kroger,"i was able to buy everything on my list"
survey_4,user_5249,8/21/21,"fill in",walmart,"i found most of the items on my list"
survey_2,user_5146,8/7/21,stock-up,costco,"i was able to buy everything on my list"
survey_3,user_5250,8/9/21,other,walmart,"i was able to buy everything on my list"
survey_3,user_5270,8/9/21,stock-up,walmart,"i was able to buy everything on my list"
survey_8,user_5413,9/15/21,"fill in",walmart,"i was able to buy everything on my list"
survey_6,user_5417,9/5/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_5,user_5429,8/27/21,"grab & go","sam's club","i found most of the items on my list"
survey_3,user_5321,8/12/21,"fill in","sam's club","i found most of the items on my list"
survey_10,user_5324,9/28/21,"fill in",walmart,"i was able to buy everything on my list"
survey_5,user_5385,8/24/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_5,user_5446,8/27/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_5,user_5451,8/27/21,"fill in",target,"i found most of the items on my list"
survey_3,user_1463,8/11/21,"fill in",kroger,"i was able to buy everything on my list"
survey_3,user_1482,8/10/21,"grab & go",costco,"i was able to buy everything on my list"
survey_6,user_1511,9/2/21,"grab & go",Kroger,"i found only a few of the items on my list"
survey_4,user_1515,8/16/21,"fill in",walmart,"i was able to buy everything on my list"
survey_3,user_1546,8/15/21,stock-up,albertsons,"i was able to buy everything on my list"
survey_3,user_1623,8/15/21,stock-up,costco,"i was able to buy everything on my list"
survey_4,user_1558,8/19/21,"fill in","trader joe's","i was able to buy everything on my list"
survey_5,user_1574,8/26/21,stock-up,target,"i found most of the items on my list"
survey_2,user_1839,8/8/21,stock-up,"sam's club","i found most of the items on my list"
survey_7,user_1845,9/6/21,other,Walmart,"i was able to buy everything on my list"
survey_3,user_1851,8/14/21,"fill in",walmart,"i was able to buy everything on my list"
survey_9,user_1876,9/21/21,"returns and services",walmart,"i was able to buy everything on my list"
survey_4,user_1891,8/18/21,stock-up,walmart,"i was able to buy everything on my list"
survey_10,user_1626,9/27/21,stock-up,target,"i found most of the items on my list"
survey_3,user_1650,8/11/21,"grab & go","whole foods","i was able to buy everything on my list"
survey_9,user_1722,9/24/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_9,user_1826,9/22/21,"fill in","sam's club","i was able to buy everything on my list"
survey_6,user_1908,9/1/21,other,Walmart,"i was able to buy everything on my list"
survey_6,user_6,9/4/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_2,user_90,8/2/21,"grab & go",costco,"i was able to buy everything on my list"
survey_6,user_133,9/1/21,"fill in","Trader Joe's","i was able to buy everything on my list"
survey_2,user_23,8/2/21,"fill in",kroger,"i found most of the items on my list"
survey_2,user_43,8/2/21,"fill in",target,"i was able to buy everything on my list"
survey_9,user_74,9/26/21,other,target,"i found most of the items on my list"
survey_4,user_110,8/18/21,"grab & go","sam's club","i was able to buy everything on my list"
survey_6,user_173,8/31/21,"fill in","Whole Foods","i was able to buy everything on my list"
survey_8,user_207,9/19/21,"fill in",target,"i was able to buy everything on my list"
survey_3,user_222,8/9/21,"fill in",walmart,"i was able to buy everything on my list"
survey_6,user_302,8/30/21,other,Target,"i found most of the items on my list"
survey_2,user_364,8/3/21,stock-up,"sam's club","i was able to buy everything on my list"
survey_6,user_406,9/4/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_9,user_68,9/26/21,"fill in","sam's club","i was able to buy everything on my list"
survey_3,user_137,8/11/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_9,user_249,9/26/21,"fill in",albertsons,"i found most of the items on my list"
survey_6,user_308,9/4/21,"fill in",Costco,"i was able to buy everything on my list"
survey_2,user_361,8/7/21,"grab & go","whole foods","i found most of the items on my list"
survey_6,user_386,9/5/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_2,user_1982,8/3/21,"grab & go","sam's club","i was able to buy everything on my list"
survey_6,user_1753,8/30/21,"grab & go",Target,"i was able to buy everything on my list"
survey_5,user_2034,8/24/21,"fill in",walmart,"i found only a few of the items on my list"
survey_2,user_2096,8/7/21,other,target,"i did not find any of the items i needed"
survey_3,user_2100,8/9/21,"grab & go",target,"i was able to buy everything on my list"
survey_4,user_2105,8/22/21,stock-up,kroger,"i was able to buy everything on my list"
survey_9,user_2136,9/25/21,stock-up,albertsons,"i was able to buy everything on my list"
survey_4,user_2143,8/19/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_4,user_2153,8/21/21,stock-up,walmart,"i was able to buy everything on my list"
survey_10,user_439,9/29/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_2,user_443,8/5/21,"grab & go","trader joe's","i was able to buy everything on my list"
survey_1,user_480,8/1/21,"grab & go","sam's club","i was able to buy everything on my list"
survey_3,user_514,8/9/21,"fill in",kroger,"i was able to buy everything on my list"
survey_3,user_220,8/9/21,other,walmart,"i did not find any of the items i needed"
survey_4,user_478,8/18/21,stock-up,walmart,"i was able to buy everything on my list"
survey_5,user_546,8/25/21,stock-up,walmart,"i found most of the items on my list"
survey_4,user_553,8/17/21,stock-up,walmart,"i was able to buy everything on my list"
survey_2,user_558,8/3/21,"grab & go",target,"i found only a few of the items on my list"
survey_5,user_598,8/23/21,"fill in",target,"i was able to buy everything on my list"
survey_6,user_635,8/30/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_10,user_659,9/30/21,"fill in",kroger,"i found most of the items on my list"
survey_2,user_659,8/2/21,"fill in",walmart,"i found only a few of the items on my list"
survey_5,user_693,8/25/21,stock-up,target,"i was able to buy everything on my list"
survey_4,user_3395,8/17/21,stock-up,walmart,"i was able to buy everything on my list"
survey_3,user_3404,8/9/21,"grab & go",target,"i was able to buy everything on my list"
survey_4,user_3421,8/16/21,"fill in",walmart,"i found most of the items on my list"
survey_8,user_3463,9/19/21,other,walmart,"i was able to buy everything on my list"
survey_2,user_3518,8/2/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_3,user_3563,8/12/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_8,user_1185,9/14/21,"grab & go","trader joe's","i found most of the items on my list"
survey_6,user_1018,8/31/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_2,user_1276,8/2/21,"returns and services",costco,"i found most of the items on my list"
survey_4,user_1310,8/20/21,"fill in",albertsons,"i was able to buy everything on my list"
survey_3,user_1332,8/13/21,stock-up,albertsons,"i was able to buy everything on my list"
survey_5,user_1392,8/24/21,"fill in",walmart,"i found most of the items on my list"
survey_5,user_3603,8/24/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_6,user_5504,9/2/21,"fill in",Costco,"i found most of the items on my list"
survey_6,user_5618,9/2/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_6,user_5630,9/1/21,"fill in",Target,"i found most of the items on my list"
survey_9,user_5657,9/22/21,stock-up,walmart,"i found most of the items on my list"
survey_8,user_5661,9/17/21,"fill in",costco,"i was able to buy everything on my list"
survey_8,user_5695,9/13/21,stock-up,walmart,"i found most of the items on my list"
survey_8,user_5778,9/14/21,"grab & go",target,"i found most of the items on my list"
survey_8,user_5780,9/14/21,other,walmart,"i was able to buy everything on my list"
survey_7,user_5731,9/11/21,"returns and services",Albertsons,"i was able to buy everything on my list"
survey_6,user_3642,9/2/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_7,user_3683,9/6/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_3,user_3698,8/15/21,"fill in",albertsons,"i was able to buy everything on my list"
survey_1,user_3796,8/1/21,"grab & go","sam's club","i was able to buy everything on my list"
survey_4,user_3690,8/19/21,"grab & go","whole foods","i was able to buy everything on my list"
survey_3,user_3814,8/11/21,"grab & go",walmart,"i found most of the items on my list"
survey_8,user_3885,9/15/21,stock-up,walmart,"i was able to buy everything on my list"
survey_4,user_3914,8/18/21,"fill in",walmart,"i was able to buy everything on my list"
survey_6,user_3994,8/31/21,"grab & go",Walmart,"i found only a few of the items on my list"
survey_6,user_3748,8/30/21,"grab & go","Whole Foods","i was able to buy everything on my list"
survey_8,user_3793,9/19/21,"fill in","trader joe's","i found most of the items on my list"
survey_3,user_3874,8/10/21,stock-up,walmart,"i was able to buy everything on my list"
survey_6,user_3897,9/4/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_10,user_3964,9/28/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_5,user_4075,8/23/21,other,walmart,"i was able to buy everything on my list"
survey_7,user_4081,9/6/21,stock-up,Target,"i found most of the items on my list"
survey_6,user_4143,9/5/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_10,user_4207,9/28/21,"fill in",walmart,"i was able to buy everything on my list"
survey_2,user_4213,8/7/21,stock-up,costco,"i was able to buy everything on my list"
survey_3,user_4214,8/9/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_3,user_4219,8/13/21,stock-up,"sam's club","i found most of the items on my list"
survey_2,user_4248,8/3/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_9,user_4272,9/25/21,stock-up,target,"i was able to buy everything on my list"
survey_2,user_2184,8/8/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_8,user_2218,9/16/21,stock-up,target,"i was able to buy everything on my list"
survey_2,user_2230,8/2/21,stock-up,walmart,"i was able to buy everything on my list"
survey_6,user_2382,8/30/21,"grab & go",Target,"i was able to buy everything on my list"
survey_4,user_2545,8/17/21,"grab & go",target,"i was able to buy everything on my list"
survey_8,user_2302,9/16/21,"fill in","trader joe's","i was able to buy everything on my list"
survey_8,user_2645,9/18/21,"grab & go",target,"i was able to buy everything on my list"
survey_3,user_2738,8/9/21,"fill in",kroger,"i was able to buy everything on my list"
survey_7,user_2751,9/6/21,"fill in",Albertsons,"i found most of the items on my list"
survey_6,user_2766,8/31/21,"fill in",Target,"i found most of the items on my list"
survey_4,user_2770,8/18/21,stock-up,walmart,"i was able to buy everything on my list"
survey_4,user_2771,8/21/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_9,user_2795,9/26/21,"fill in",walmart,"i was able to buy everything on my list"
survey_8,user_4348,9/18/21,"grab & go",target,"i did not find any of the items i needed"
survey_8,user_4341,9/17/21,"fill in",walmart,"i was able to buy everything on my list"
survey_7,user_4359,9/6/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_8,user_4397,9/13/21,"fill in",target,"i found only a few of the items on my list"
survey_2,user_4434,8/8/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_6,user_4487,9/4/21,stock-up,Walmart,"i found only a few of the items on my list"
survey_3,user_4673,8/15/21,stock-up,costco,"i was able to buy everything on my list"
survey_2,user_4690,8/3/21,"grab & go",target,"i was able to buy everything on my list"
survey_8,user_4469,9/16/21,stock-up,"whole foods","i was able to buy everything on my list"
survey_8,user_4521,9/19/21,stock-up,walmart,"i found most of the items on my list"
survey_9,user_4503,9/26/21,"fill in",albertsons,"i was able to buy everything on my list"
survey_5,user_4514,8/23/21,other,walmart,"i was able to buy everything on my list"
survey_5,user_4618,8/26/21,stock-up,costco,"i found most of the items on my list"
survey_8,user_4630,9/16/21,"grab & go",target,"i was able to buy everything on my list"
survey_8,user_4632,9/13/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_4,user_4650,8/22/21,other,costco,"i was able to buy everything on my list"
survey_7,user_4696,9/11/21,stock-up,Walmart,"i found only a few of the items on my list"
survey_2,user_4720,8/4/21,stock-up,costco,"i found most of the items on my list"
survey_6,user_4747,9/1/21,other,Walmart,"i was able to buy everything on my list"
survey_2,user_1462,8/2/21,stock-up,costco,"i found most of the items on my list"
survey_3,user_1466,8/9/21,other,walmart,"i was able to buy everything on my list"
survey_5,user_1520,8/25/21,"fill in",target,"i was able to buy everything on my list"
survey_1,user_1522,8/1/21,"grab & go",costco,"i was able to buy everything on my list"
survey_8,user_1573,9/19/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_8,user_1587,9/14/21,stock-up,target,"i found most of the items on my list"
survey_5,user_1771,8/24/21,"fill in",kroger,"i was able to buy everything on my list"
survey_3,user_1568,8/15/21,"fill in","whole foods","i was able to buy everything on my list"
survey_5,user_1545,8/23/21,other,walmart,"i was able to buy everything on my list"
survey_7,user_1607,9/10/21,"fill in","Sam's Club","i was able to buy everything on my list"
survey_2,user_1617,8/7/21,"grab & go","sam's club","i found most of the items on my list"
survey_9,user_1665,9/21/21,"fill in",walmart,"i was able to buy everything on my list"
survey_9,user_1699,9/21/21,stock-up,walmart,"i was able to buy everything on my list"
survey_6,user_1805,9/4/21,"fill in",Target,"i was able to buy everything on my list"
survey_9,user_1808,9/21/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_10,user_1829,9/27/21,"returns and services",walmart,"i was able to buy everything on my list"
survey_7,user_1883,9/11/21,stock-up,Walmart,"i was able to buy everything on my list"
survey_9,user_1657,9/24/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_2,user_1708,8/4/21,"grab & go",target,"i was able to buy everything on my list"
survey_7,user_1849,9/9/21,"fill in",Albertsons,"i was able to buy everything on my list"
survey_5,user_1878,8/23/21,"grab & go",walmart,"i found most of the items on my list"
survey_6,user_37,9/1/21,"grab & go",Albertsons,"i was able to buy everything on my list"
survey_3,user_126,8/9/21,stock-up,walmart,"i was able to buy everything on my list"
survey_7,user_134,9/7/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_8,user_177,9/17/21,other,target,"i was able to buy everything on my list"
survey_6,user_180,9/5/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_8,user_181,9/13/21,stock-up,albertsons,"i was able to buy everything on my list"
survey_8,user_191,9/19/21,stock-up,costco,"i was able to buy everything on my list"
survey_2,user_196,8/4/21,"fill in",target,"i was able to buy everything on my list"
survey_2,user_357,8/2/21,"grab & go",target,"i found only a few of the items on my list"
survey_7,user_474,9/7/21,"fill in",Costco,"i was able to buy everything on my list"
survey_7,user_202,9/8/21,stock-up,Target,"i was able to buy everything on my list"
survey_9,user_253,9/22/21,"fill in",walmart,"i was able to buy everything on my list"
survey_2,user_255,8/2/21,"grab & go",target,"i did not find any of the items i needed"
survey_5,user_401,8/26/21,"grab & go","trader joe's","i was able to buy everything on my list"
survey_7,user_1935,9/11/21,stock-up,Target,"i was able to buy everything on my list"
survey_9,user_1946,9/26/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_8,user_1969,9/13/21,"grab & go","whole foods","i was able to buy everything on my list"
survey_1,user_1979,8/1/21,"grab & go","trader joe's","i was able to buy everything on my list"
survey_4,user_1772,8/22/21,"grab & go",target,"i was able to buy everything on my list"
survey_8,user_1871,9/15/21,stock-up,"trader joe's","i was able to buy everything on my list"
survey_4,user_1790,8/19/21,"fill in",kroger,"i was able to buy everything on my list"
survey_7,user_1957,9/7/21,stock-up,Kroger,"i found most of the items on my list"
survey_5,user_2010,8/24/21,"fill in",walmart,"i found most of the items on my list"
survey_4,user_2014,8/19/21,"fill in","sam's club","i was able to buy everything on my list"
survey_8,user_2038,9/13/21,"fill in","trader joe's","i was able to buy everything on my list"
survey_10,user_2049,9/28/21,stock-up,target,"i was able to buy everything on my list"
survey_8,user_2059,9/16/21,other,target,"i was able to buy everything on my list"
survey_6,user_2080,9/4/21,"fill in","Trader Joe's","i was able to buy everything on my list"
survey_5,user_2084,8/27/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_3,user_2137,8/9/21,stock-up,walmart,"i found most of the items on my list"
survey_7,user_2141,9/13/21,stock-up,Costco,"i was able to buy everything on my list"
survey_5,user_2121,8/24/21,stock-up,target,"i was able to buy everything on my list"
survey_9,user_432,9/21/21,"grab & go",walmart,"i found most of the items on my list"
survey_6,user_436,9/2/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_6,user_442,9/5/21,"grab & go","Trader Joe's","i was able to buy everything on my list"
survey_6,user_486,8/30/21,"grab & go","Whole Foods","i was able to buy everything on my list"
survey_2,user_352,8/7/21,stock-up,costco,"i was able to buy everything on my list"
survey_9,user_418,9/22/21,"fill in",costco,"i was able to buy everything on my list"
survey_2,user_494,8/6/21,stock-up,costco,"i was able to buy everything on my list"
survey_5,user_529,8/28/21,"grab & go",target,"i was able to buy everything on my list"
survey_5,user_599,8/25/21,"returns and services","sam's club","i did not find any of the items i needed"
survey_7,user_661,9/11/21,"fill in",Walmart,"i found only a few of the items on my list"
survey_2,user_703,8/6/21,stock-up,"whole foods","i was able to buy everything on my list"
survey_8,user_567,9/13/21,"grab & go",kroger,"i found only a few of the items on my list"
survey_2,user_687,8/2/21,"fill in",walmart,"i was able to buy everything on my list"
survey_5,user_799,8/25/21,"fill in",costco,"i found most of the items on my list"
survey_2,user_755,8/2/21,other,walmart,"i was able to buy everything on my list"
survey_2,user_791,8/2/21,stock-up,walmart,"i was able to buy everything on my list"
survey_4,user_796,8/20/21,"grab & go",target,"i found most of the items on my list"
survey_3,user_940,8/13/21,"fill in",costco,"i was able to buy everything on my list"
survey_8,user_2896,9/13/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_6,user_2914,9/1/21,stock-up,Target,"i was able to buy everything on my list"
survey_2,user_2937,8/5/21,stock-up,target,"i was able to buy everything on my list"
survey_4,user_2925,8/20/21,"fill in",kroger,"i was able to buy everything on my list"
survey_7,user_818,9/7/21,"grab & go",Target,"i was able to buy everything on my list"
survey_2,user_846,8/5/21,other,"sam's club","i was able to buy everything on my list"
survey_6,user_856,9/3/21,stock-up,Costco,"i was able to buy everything on my list"
survey_3,user_873,8/11/21,stock-up,kroger,"i was able to buy everything on my list"
survey_4,user_876,8/21/21,"fill in",walmart,"i was able to buy everything on my list"
survey_4,user_890,8/19/21,"grab & go",albertsons,"i found most of the items on my list"
survey_6,user_941,9/2/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_8,user_1048,9/13/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_9,user_1082,9/24/21,"fill in",walmart,"i was able to buy everything on my list"
survey_5,user_1090,8/27/21,"fill in",target,"i was able to buy everything on my list"
survey_5,user_869,8/26/21,other,target,"i was able to buy everything on my list"
survey_2,user_941,8/2/21,"fill in",target,"i was able to buy everything on my list"
survey_3,user_1049,8/14/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_8,user_1060,9/17/21,"fill in",target,"i found most of the items on my list"
survey_5,user_1112,8/26/21,stock-up,costco,"i was able to buy everything on my list"
survey_3,user_1121,8/11/21,stock-up,"sam's club","i was able to buy everything on my list"
survey_4,user_1128,8/20/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_4,user_1137,8/21/21,"grab & go","whole foods","i was able to buy everything on my list"
survey_7,user_2992,9/11/21,"fill in",Kroger,"i was able to buy everything on my list"
survey_8,user_3000,9/18/21,"fill in",walmart,"i found most of the items on my list"
survey_9,user_3056,9/26/21,"grab & go",target,"i was able to buy everything on my list"
survey_3,user_3057,8/10/21,"fill in",costco,"i was able to buy everything on my list"
survey_9,user_3072,9/21/21,"fill in",walmart,"i found most of the items on my list"
survey_4,user_3134,8/17/21,"grab & go",target,"i was able to buy everything on my list"
survey_2,user_3146,8/2/21,"fill in","trader joe's","i was able to buy everything on my list"
survey_6,user_3163,9/3/21,"fill in",Target,"i was able to buy everything on my list"
survey_6,user_3176,8/31/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_2,user_3235,8/2/21,stock-up,target,"i was able to buy everything on my list"
survey_8,user_3247,9/17/21,"fill in",walmart,"i was able to buy everything on my list"
survey_3,user_3359,8/13/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_3,user_3020,8/9/21,"grab & go",target,"i was able to buy everything on my list"
survey_7,user_3078,9/7/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_1,user_3131,8/1/21,"fill in",kroger,"i was able to buy everything on my list"
survey_8,user_3148,9/14/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_6,user_3178,9/1/21,"grab & go",Costco,"i was able to buy everything on my list"
survey_2,user_3267,8/8/21,stock-up,"sam's club","i was able to buy everything on my list"
survey_2,user_3269,8/2/21,"fill in",walmart,"i was able to buy everything on my list"
survey_2,user_3306,8/2/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_3,user_3348,8/9/21,stock-up,walmart,"i found most of the items on my list"
survey_10,user_3407,9/28/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_9,user_3417,9/21/21,stock-up,walmart,"i was able to buy everything on my list"
survey_2,user_3526,8/3/21,"fill in","whole foods","i was able to buy everything on my list"
survey_5,user_3530,8/23/21,"fill in","sam's club","i was able to buy everything on my list"
survey_9,user_1112,9/22/21,other,costco,"i was able to buy everything on my list"
survey_4,user_1164,8/16/21,other,kroger,"i was able to buy everything on my list"
survey_9,user_1257,9/22/21,stock-up,walmart,"i was able to buy everything on my list"
survey_9,user_1290,9/21/21,"fill in",costco,"i was able to buy everything on my list"
survey_7,user_1309,9/7/21,stock-up,Walmart,"i found most of the items on my list"
survey_3,user_1335,8/11/21,stock-up,costco,"i was able to buy everything on my list"
survey_7,user_1351,9/12/21,stock-up,Kroger,"i found most of the items on my list"
survey_2,user_1438,8/8/21,stock-up,costco,"i was able to buy everything on my list"
survey_6,user_1441,9/2/21,"fill in",Walmart,"i was able to buy everything on my list"
survey_10,user_1400,9/28/21,"grab & go",walmart,"i found only a few of the items on my list"
survey_2,user_5102,8/2/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_2,user_5127,8/4/21,stock-up,kroger,"i was able to buy everything on my list"
survey_7,user_5129,9/12/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_3,user_5174,8/11/21,"grab & go",kroger,"i found most of the items on my list"
survey_3,user_5141,8/13/21,"fill in","sam's club","i was able to buy everything on my list"
survey_4,user_5244,8/18/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_3,user_5264,8/11/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_7,user_5322,9/9/21,"grab & go","Whole Foods","i was able to buy everything on my list"
survey_4,user_5335,8/18/21,stock-up,walmart,"i was able to buy everything on my list"
survey_3,user_5282,8/11/21,"grab & go",costco,"i was able to buy everything on my list"
survey_7,user_5284,9/9/21,other,Walmart,"i was able to buy everything on my list"
survey_7,user_5409,9/7/21,stock-up,Walmart,"i was able to buy everything on my list"
survey_10,user_5426,9/28/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_7,user_5506,9/6/21,"grab & go",Kroger,"i was able to buy everything on my list"
survey_5,user_5514,8/28/21,"grab & go",costco,"i was able to buy everything on my list"
survey_2,user_4850,8/2/21,"fill in",walmart,"i was able to buy everything on my list"
